ŽžŠÔ,timeStep,TSPS,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,
1.27683,0.011964,83.5841,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.2888,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.30077,0.011973,83.5213,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.31274,0.011963,83.5911,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.3247,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.33667,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.34867,0.011992,83.3889,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.36063,0.011962,83.5981,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.37257,0.011946,83.71,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.38554,0.012965,77.1307,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.39751,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.4095,0.011995,83.3681,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.42145,0.011945,83.717,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.43292,0.011473,87.1612,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.44489,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.45685,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.46882,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.48082,0.012001,83.3264,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.49276,0.011936,83.7802,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
